           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000   -0.000000   -1.570796   -1.012221    0.000000       -2.024442        1.000000    0.000000    0.000000    0.246435    4.297578
    0.009804    0.042120   -1.528145   -1.012457    0.000000       -2.024757        1.000000    0.000000    0.000003    0.246435    4.297578
    0.019608    0.084164   -1.485474   -1.013173    0.000000       -2.025710        1.000000    0.022281    0.000040    0.246435    4.297578
    0.029412    0.126054   -1.442762   -1.014390    0.000000       -2.027326        1.000000    0.055651    0.000202    0.246435    4.297578
    0.039216    0.167715   -1.399987   -1.016144    0.000000       -2.029647        1.000000    0.100050    0.000636    0.246435    4.297578
    0.049020    0.209069   -1.357127   -1.018486    0.000000       -2.032733        1.000000    0.155397    0.001544    0.246435    4.297578
    0.058824    0.250039   -1.314154   -1.021482    0.000000       -2.036659        1.000000    0.221590    0.003183    0.246435    4.297578
    0.068627    0.290550   -1.271040   -1.025218    0.000000       -2.041524        1.000000    0.298507    0.005854    0.246435    4.297578
    0.078431    0.330522   -1.227751   -1.029798    0.000000       -2.047449        1.000000    0.386007    0.009904    0.246435    4.297578
    0.088235    0.369880   -1.184249   -1.035352    0.000000       -2.054581        1.000000    0.483925    0.015715    0.246435    4.297578
    0.098039    0.408545   -1.140490   -1.042037    0.000000       -2.063098        1.000000    0.592079    0.023700    0.246435    4.297578
    0.107843    0.446438   -1.096422   -1.050044    0.000000       -2.073214        1.000000    0.710265    0.034295    0.246435    4.297578
    0.117647    0.483480   -1.051985   -1.059602    0.000000       -2.085185        1.000000    0.838257    0.047953    0.246435    4.297578
    0.127451    0.519588   -1.007108   -1.070985    0.000000       -2.099315        1.000000    0.975807    0.065132    0.246435    4.297578
    0.137255    0.554681   -0.961707   -1.084520    0.000000       -2.115962        1.000000    1.122648    0.086291    0.246435    4.297578
    0.147059    0.588672   -0.915684   -1.100589    0.000000       -2.135543        1.000000    1.278487    0.111878    0.246435    4.297578
    0.156863    0.621472   -0.868923   -1.119632    0.000000       -2.158536        1.000000    1.443010    0.142322    0.246435    4.297578
    0.166667    0.652989   -0.821288   -1.142144    0.000000       -2.185468        1.000000    1.615875    0.178021    0.246435    4.297578
    0.176471    0.683123   -0.772622   -1.168648    0.000000       -2.216896        1.000000    1.796719    0.219336    0.246435    4.297578
    0.186275    0.711772   -0.722747   -1.199651    0.000000       -2.253347        1.000000    1.985146    0.266578    0.246435    4.297578
    0.196078    0.738822   -0.671464   -1.235539    0.000000       -2.295215        1.000000    2.180735    0.319994    0.246435    4.297578
    0.205882    0.764155   -0.618563   -1.276401    0.000000       -2.342562        1.000000    2.383030    0.379756    0.246435    4.297578
    0.215686    0.787641   -0.563843   -1.321710    0.000000       -2.394797        1.000000    2.591542    0.445947    0.246435    4.297578
    0.225490    0.809143   -0.507147   -1.369841    0.000000       -2.450161        1.000000    2.805747    0.518539    0.246435    4.297578
    0.235294    0.828520   -0.448419   -1.417385    0.000000       -2.505028        1.000000    3.025081    0.597379    0.246435    4.297578
    0.245098    0.845630   -0.387800   -1.458367    0.000000       -2.553105        1.000000    3.248945    0.682169    0.246435    4.297578
    0.254902    0.860347   -0.325746   -1.483709    0.000000       -2.584907        1.000000    3.476705    0.772446    0.246435    4.297578
    0.264706    0.872572   -0.263158   -1.481644    0.000000       -2.588226        1.000000    3.707701    0.867579    0.246435    4.297578
    0.274510    0.882265   -0.201452   -1.439937    0.000000       -2.550463        1.000000    3.941263    0.966784    0.246435    4.297578
    0.284314    0.889461   -0.142500   -1.350088    0.000000       -2.462969        1.000000    4.176730    1.069165    0.246435    4.297578
    0.294118    0.894293   -0.088369   -1.211915    0.000000       -2.325754        1.000000    4.413476    1.173792    0.246435    4.297578
    0.303922    0.896988   -0.040918   -1.035464    0.000000       -2.149373        1.000000    4.650936    1.279784    0.246435    4.297578
    0.313725    0.897850   -0.001406   -0.838282    0.000000       -1.952052        1.000000    4.888624    1.386389    0.246435    4.297578
    0.323529    0.897225    0.029702   -0.639557    0.000000       -1.753614        1.000000    5.126147    1.493029    0.246435    4.297578
    0.333333    0.895462    0.052686   -0.454803    0.000000       -1.569995        1.000000    5.363203    1.599299    0.246435    4.297578
    0.343137    0.892890    0.068358   -0.293463    0.000000       -1.410806        1.000000    5.599578    1.704946    0.246435    4.297578
    0.352941    0.889794    0.077799   -0.159299    0.000000       -1.279755        1.000000    5.835133    1.809832    0.246435    4.297578
    0.362745    0.886412    0.082161   -0.052093    0.000000       -1.176431        1.000000    6.069793    1.913899    0.246435    4.297578
    0.372549    0.882934    0.082534    0.030574    0.000000       -1.098158        1.000000    6.303532    2.017141    0.246435    4.297578
    0.382353    0.879507    0.079883    0.092016    0.000000       -1.041359        1.000000    6.536364    2.119586    0.246435    4.297578
    0.392157    0.876241    0.075030    0.135659    0.000000       -1.002369        1.000000    6.768332    2.221284    0.246435    4.297578
