           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796   -0.997870    0.000000       -1.995740        1.000000    0.000000    0.000000    0.005016    3.224523
    0.009804    0.031608   -1.539251   -0.997870    0.000000       -1.995740        1.000000    0.000000    0.000001    0.005016    3.224523
    0.019608    0.063184   -1.507705   -0.997871    0.000000       -1.995741        1.000000    0.012550    0.000013    0.005016    3.224523
    0.029412    0.094697   -1.476159   -0.997872    0.000000       -1.995743        1.000000    0.031360    0.000063    0.005016    3.224523
    0.039216    0.126117   -1.444614   -0.997875    0.000000       -1.995746        1.000000    0.056411    0.000199    0.005016    3.224523
    0.049020    0.157410   -1.413068   -0.997877    0.000000       -1.995750        1.000000    0.087677    0.000485    0.005016    3.224523
    0.058824    0.188547   -1.381522   -0.997881    0.000000       -1.995754        1.000000    0.125128    0.001002    0.005016    3.224523
    0.068627    0.219497   -1.349976   -0.997885    0.000000       -1.995760        1.000000    0.168727    0.001849    0.005016    3.224523
    0.078431    0.250228   -1.318430   -0.997890    0.000000       -1.995767        1.000000    0.218430    0.003139    0.005016    3.224523
    0.088235    0.280710   -1.286883   -0.997897    0.000000       -1.995775        1.000000    0.274187    0.004999    0.005016    3.224523
    0.098039    0.310913   -1.255337   -0.997904    0.000000       -1.995784        1.000000    0.335944    0.007572    0.005016    3.224523
    0.107843    0.340806   -1.223790   -0.997912    0.000000       -1.995795        1.000000    0.403638    0.011009    0.005016    3.224523
    0.117647    0.370360   -1.192243   -0.997922    0.000000       -1.995807        1.000000    0.477203    0.015474    0.005016    3.224523
    0.127451    0.399546   -1.160695   -0.997933    0.000000       -1.995822        1.000000    0.556565    0.021137    0.005016    3.224523
    0.137255    0.428334   -1.129147   -0.997947    0.000000       -1.995839        1.000000    0.641645    0.028176    0.005016    3.224523
    0.147059    0.456695   -1.097599   -0.997962    0.000000       -1.995858        1.000000    0.732358    0.036775    0.005016    3.224523
    0.156863    0.484603   -1.066050   -0.997980    0.000000       -1.995880        1.000000    0.828615    0.047119    0.005016    3.224523
    0.166667    0.512028   -1.034501   -0.998000    0.000000       -1.995905        1.000000    0.930319    0.059395    0.005016    3.224523
    0.176471    0.538943   -1.002951   -0.998024    0.000000       -1.995934        1.000000    1.037369    0.073789    0.005016    3.224523
    0.186275    0.565322   -0.971400   -0.998052    0.000000       -1.995968        1.000000    1.149659    0.090484    0.005016    3.224523
