           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796   -0.991033    0.000000       -1.982065        1.000000    0.000000   -0.000000    0.089542    5.176100
    0.009804    0.050725   -1.520504   -0.991089    0.000000       -1.982141        1.000000    0.000000    0.000005    0.089542    5.176100
    0.019608    0.101321   -1.470207   -0.991262    0.000000       -1.982370        1.000000    0.032306    0.000082    0.089542    5.176100
    0.029412    0.151661   -1.419897   -0.991559    0.000000       -1.982764        1.000000    0.080663    0.000415    0.089542    5.176100
    0.039216    0.201618   -1.369569   -0.991994    0.000000       -1.983337        1.000000    0.144948    0.001304    0.089542    5.176100
    0.049020    0.251063   -1.319215   -0.992586    0.000000       -1.984114        1.000000    0.224999    0.003160    0.089542    5.176100
    0.058824    0.299873   -1.268826   -0.993364    0.000000       -1.985124        1.000000    0.320612    0.006492    0.089542    5.176100
    0.068627    0.347922   -1.218392   -0.994363    0.000000       -1.986411        1.000000    0.431546    0.011899    0.089542    5.176100
    0.078431    0.395087   -1.167901   -0.995631    0.000000       -1.988027        1.000000    0.557518    0.020047    0.089542    5.176100
    0.088235    0.441247   -1.117338   -0.997230    0.000000       -1.990045        1.000000    0.698209    0.031661    0.089542    5.176100
    0.098039    0.486283   -1.066683   -0.999242    0.000000       -1.992555        1.000000    0.853259    0.047500    0.089542    5.176100
    0.107843    0.530075   -1.015914   -1.001776    0.000000       -1.995679        1.000000    1.022272    0.068340    0.089542    5.176100
    0.117647    0.572509   -0.965000   -1.004976    0.000000       -1.999576        1.000000    1.204814    0.094955    0.089542    5.176100
    0.127451    0.613469   -0.913902   -1.009036    0.000000       -2.004458        1.000000    1.400417    0.128092    0.089542    5.176100
    0.137255    0.652842   -0.862572   -1.014219    0.000000       -2.010610        1.000000    1.608574    0.168457    0.089542    5.176100
    0.147059    0.690517   -0.810942   -1.020885    0.000000       -2.018422        1.000000    1.828743    0.216690    0.089542    5.176100
    0.156863    0.726380   -0.758926   -1.029534    0.000000       -2.028426        1.000000    2.060347    0.273348    0.089542    5.176100
    0.166667    0.760320   -0.706407   -1.040863    0.000000       -2.041362        1.000000    2.302773    0.338889    0.089542    5.176100
    0.176471    0.792220   -0.653225   -1.055855    0.000000       -2.058264        1.000000    2.555370    0.413654    0.089542    5.176100
    0.186275    0.821960   -0.599161   -1.075891    0.000000       -2.080573        1.000000    2.817449    0.497851    0.089542    5.176100
    0.196078    0.849412   -0.543913   -1.102887    0.000000       -2.110279        1.000000    3.088282    0.591545    0.089542    5.176100
